[name:"bilibili",site:"https://m.bilibili.com"]
[name:"淘宝",site:"https://h5.m.taobao.com"]
[name:"少数派",site:"https://sspai.com"]
[name:"配色工具",site:"https://coolors.co"]
[name:"在线天气(世界)",site:"https://wttr.in/Beijing?0q"]
[name:"UDN新闻",site:"https://udn.com/"]
[name:"Win11 in QUOS",site:"https://win11.blueedge.me/"]
[name:"汉典",site:"https://www.zdic.net/"]
[name:"文案GO",site:"http://www.wenangou.com/xieyin.html"]
[name:"淘声",site:"https://www.tosound.com/"]
[name:"多摸鱼",site:"https://duomoyu.com/"]
